shipName,shipID,tier,is_premium,nation,reloadTime,barrels,guns,RPM
Svietlana,4185830864,4,FALSE,ussr,10,1,15,90
Kolberg,4186879792,3,FALSE,germany,4,1,12,180
Dresden,4292785968,2,FALSE,germany,5,1,10,120
St.?Louis,4290689008,3,FALSE,usa,10,1,10,60
Atlanta B,3679369200,7,TRUE,usa,4,2,8,200
Java,4186879760,3,FALSE,netherlands,10,1,10,57
Colbert,3760109392,10,FALSE,france,3,2,8,281.6
Atlanta,4288591856,7,TRUE,usa,4,2,8,200
Karlsruhe,4185831216,4,FALSE,germany,6,1,8,73.6
Gelderland,4187928336,2,FALSE,netherlands,8,1,8,60
Edgar,4178491344,11,FALSE,uk,3,2,6,225.6
San Diego,3720263664,8,TRUE,usa,5,2,8,174.4
STAR?Kitakaze,3362666192,9,TRUE,japan,3,2,4,160
Jurien de la Gravi?re,4187928400,2,FALSE,france,9,1,8,53.6
Bogatyr,4186879440,3,FALSE,ussr,9,1,8,53.6
Weymouth,4187928528,2,FALSE,uk,9,1,8,52
Port Jackson,4282299760,2,FALSE,commonwealth,9,1,8,50.4
Emden,3768497968,2,TRUE,germany,4,1,10,150
M?ndez N??ez,4187927984,2,FALSE,spain,10,1,8,48
Nino Bixio,4187928304,2,FALSE,italy,11,1,8,44
Kuma,4281251536,4,FALSE,japan,6,1,7,70
Flint,3553540080,7,TRUE,usa,5,2,6,141.6
Smolensk,3655251408,10,FALSE,ussr,4,4,4,212.8
Smolensk B,3739137488,10,FALSE,ussr,4,4,4,212.8
Taranto,4186879728,3,FALSE,italy,11,1,7,37.8
Friesland,3760076080,9,TRUE,europe,1,2,2,133.2
Groningen,3761125136,9,TRUE,netherlands,1,2,2,133.2
Harugumo,4074649296,10,FALSE,japan,3,2,5,200
Jinan,4179539152,10,FALSE,pan_asia,3,2,5,200
Minotaur,4179539920,10,FALSE,uk,3,2,5,188
Jacksonville,4283348976,11,FALSE,usa,5,3,5,180
Kitakaze,4065212112,9,FALSE,japan,3,2,4,160
Hector,3761157488,9,TRUE,commonwealth,6,2,7,126
Dalian,3761157328,9,TRUE,pan_asia,4,2,5,122
Akizuki,4181604048,8,FALSE,japan,3,2,4,160
Cross of Dorn,3542005552,8,TRUE,germany,6,3,4,120
Sejong,4180587728,9,FALSE,pan_asia,4,2,6,159.6
Wiesbaden,3531519792,8,TRUE,germany,6,2,6,120
Mainz?B,3667834672,8,TRUE,germany,6,3,4,120
Novik,4187928016,2,FALSE,ussr,5,1,6,72
Almirante Barroso,4187927888,2,FALSE,pan_america,7,1,6,51.6
Mainz,3751720752,8,TRUE,germany,6,3,4,120
C?rdoba,4185830736,4,FALSE,pan_america,7,1,6,51.6
Danae,4185831376,4,FALSE,uk,7,1,6,48
Dunedin,4280202608,4,FALSE,commonwealth,8,1,6,42.6
Navarra,4186879408,3,FALSE,spain,10,1,6,36
Vicente Guerrero,4186879312,3,FALSE,pan_america,10,1,6,36
Phoenix,4269717488,4,FALSE,usa,10,1,6,36
Krasny Krym,3765351888,5,TRUE,ussr,8,1,15,111
Nassau,4186912560,3,FALSE,germany,26,2,6,27.6
Worcester,4074682352,10,FALSE,usa,4,2,6,156
Ship Smasha,3541972176,8,TRUE,pan_asia,4,2,4,108.8
Fenyang,3751687376,8,TRUE,pan_asia,4,2,4,108.8
Turenne,4186912592,3,FALSE,france,30,2,6,24
Dmitry Pozharsky,3709777360,8,TRUE,ussr,6,3,4,105.6
Courbet,4185864016,4,FALSE,france,30,2,6,24
Wyoming,4290721776,4,FALSE,usa,30,2,6,24
AL Montpelier,3542005744,8,TRUE,usa,7,3,4,103.2
Tokachi,3763254992,7,TRUE,japan,7,2,6,103.2
Kawachi,4293867216,3,FALSE,japan,30,2,6,24
Neptune,4180588496,9,FALSE,uk,4,3,4,150
Plymouth,3760109520,10,FALSE,uk,6,4,4,147.2
Vampire II,3760076144,10,FALSE,commonwealth,2,2,3,144
AL Avrora,3746477520,3,TRUE,ussr,8,1,14,98
Vallejo,3761158128,9,TRUE,usa,6,2,5,98
Aurora,4293834192,3,TRUE,ussr,8,1,14,98
Sm?land,3655218480,10,FALSE,europe,1,2,2,141.2
STAR?Edinburgh,3363747792,8,TRUE,uk,7,3,4,96
L?shun,3760075984,10,FALSE,pan_asia,1,2,2,141.2
Cossack B,3667802064,8,TRUE,uk,5,2,4,96
Cossack,3752736720,8,TRUE,uk,5,2,4,96
Velos,3761124656,9,TRUE,europe,2,1,4,96
Belfast,3763255248,7,TRUE,uk,7,3,4,96
Bayard,3762206544,8,TRUE,france,7,3,4,96
M?nchen,3763255088,7,TRUE,germany,5,2,4,96
Marceau,4074649424,10,FALSE,france,3,2,4,136.8
Z-42,3655218992,10,FALSE,germany,4,2,5,133
Annapolis,4178491376,11,FALSE,usa,5,3,4,130.8
Daring,4179507152,10,FALSE,uk,2,2,3,128.4
Charleston,3767449584,3,TRUE,usa,9,1,14,93.8
Dalarna,4178457904,11,FALSE,europe,2,2,3,128.4
Druid,3760076752,10,FALSE,uk,1,2,2,126.4
Brisbane,3760108912,10,FALSE,commonwealth,5,2,5,120
[Gearing],3337500656,10,FALSE,usa,3,2,3,120
Zhu Que,3552457936,8,TRUE,pan_asia,3,1,5,90
Black,3551410160,9,TRUE,usa,3,1,5,90
Admiral Makarov,3659445712,6,TRUE,ussr,6,3,3,90
Boise,3668883440,7,TRUE,usa,10,3,5,90
Black B,3740153840,9,TRUE,usa,3,1,5,90
Varyag,3756963280,3,TRUE,ussr,8,1,12,90
Kidd,3762173936,8,TRUE,usa,3,1,5,90
Weimar,3752769328,7,TRUE,germany,8,3,4,90
Irian,3762205904,8,TRUE,pan_asia,8,3,4,90
Mikhail Kutuzov,3762206160,8,TRUE,ussr,8,3,4,90
Nueve de Julio,3763254608,7,TRUE,pan_america,10,3,5,90
Forrest Sherman,3655219184,10,FALSE,usa,1,1,3,120
Joshua Humphreys,4178458608,11,FALSE,usa,3,2,3,120
Gearing,4281219056,10,FALSE,usa,3,2,3,120
S?dermanland,3256759600,10,FALSE,europe,2,2,2,120
Halland,4179506480,10,FALSE,europe,2,2,2,120
Chumphon,4182684880,7,FALSE,pan_asia,6,2,6,117.6
Harbin,4181636304,8,FALSE,pan_asia,5,2,5,115
